歌曲id,歌曲名字,演唱者,歌曲信息URL,歌曲下载URL地址
415126159,Wの名前を（电影《狼少女与黑王子》 主题曲）,back number（バックナンバ┼）,http://music.163.com/song?id=415126159,http://m2.music.126.net/WehQkZ2DAb96gCOr-7fQ5g==/1377688080658269.mp3
414980144,MSI 2016 Opening Ceremony,League of Legends（英雄联盟）,http://music.163.com/song?id=414980144,http://m2.music.126.net/JWit4LfT3h_VmVLTTU5g9w==/3413983607328419.mp3
415086180,KEQA,MAMATALI,http://music.163.com/song?id=415086180,http://m2.music.126.net/ZZ7Db9qrc9B6hKct3aht2A==/3401888978299275.mp3
414979118,? ???? ??（我不爱你）,Urban Zakapa,http://music.163.com/song?id=414979118,http://m2.music.126.net/5O-CEpRfiT8KZ21TJ5w1Kg==/1420569034367887.mp3
414980287,Hawt Stuff (Original Mix),Vicetone,http://music.163.com/song?id=414980287,http://m2.music.126.net/bLxLPyFhiHJWZKdcVy4hng==/3419481164558887.mp3
415090109,Fade(Remix SE),牛叉小人,http://music.163.com/song?id=415090109,http://m2.music.126.net/IMPnjvHS_V2dTdmPiv8DMg==/3416182629708047.mp3
414980133,Intro (?????=Drug Restaurant)（Intro (郑俊英乐队=Drug Restaurant)）,Drug Restaurant（JJY BAND）,http://music.163.com/song?id=414980133,http://m2.music.126.net/GqsjES1KYwPEAh4BHQEGlg==/3445869443294906.mp3
414980288,???（冰箱）,吉/李夏怡/Verbal Jint（Lee Hi）,http://music.163.com/song?id=414980288,http://m2.music.126.net/Hg2uCC_CINMijBFQ682NFA==/1376588569105703.mp3
414980065,Unforgettable,From “Finding Dory”（电影《海底总动员2：多莉去哪儿》主题曲）,http://music.163.com/song?id=414980065,http://m2.music.126.net/e4mVhVvF3B_5SSXlWyIJoQ==/2946691166386678.mp3
415086030,我从崖边跌落,谢春花（谢知非）,http://music.163.com/song?id=415086030,http://m2.music.126.net/v_WT1D_qqD_RVOcltG95Vw==/3433774815424219.mp3
414980134,Sexy Bomb,Drug Restaurant（JJY BAND）,http://music.163.com/song?id=414980134,http://m2.music.126.net/j9J96sSFLFoDJAtjJl7WBg==/2946691166700639.mp3
414979177,落日谣（电视剧《余罪》宣传曲）,张一山/张承/葛铮,http://music.163.com/song?id=414979177,http://m2.music.126.net/NMg-nKTt2MlVpBliFlQBxw==/3420580679354974.mp3
414979146,Korea Anthem,League of Legends（英雄联盟）,http://music.163.com/song?id=414979146,http://m2.music.126.net/rOPyy4jMgaIQG-uaFHcaqw==/3400789466659081.mp3
411349425,Till the End,Jessie Ware,http://music.163.com/song?id=411349425,http://m2.music.126.net/LCtfG_Jcnk7_x6yL5TVO7w==/3420580679343649.mp3
